filename,post_title,vimeo_id,youtube_id,youtube_title,youtube_url,confirmed
2018-09-25-polaroid-experience-youssoupha.md,POLAROID EXPERIENCE | YOUSSOUPHA,284487415,IgZEWkNOSPo,Youssoupha - Polaroïd Experience (Clip Officiel),https://www.youtube.com/watch?v=IgZEWkNOSPo,YES
2018-09-25-stam-goody-clutch.md,Stam Goody - Clutch,273064114,6osFCIdDCas,Stam Goody - CLUTCH,https://www.youtube.com/watch?v=6osFCIdDCas,YES
2018-09-25-stephanie-richards-gong.md,Stephanie Richards — Gong,258685528,qM0DwRY_0iE,"Steph Richards Music Video - ""GONG""",https://www.youtube.com/watch?v=qM0DwRY_0iE,YES
2018-09-25-the-blaze-queens.md,THE BLAZE | QUEENS,288713682,54fea7wuV6s,The Blaze - TERRITORY (Official Video),https://www.youtube.com/watch?v=54fea7wuV6s,YES
2018-09-25-the-everlasters-ordinary-tribe.md,THE EVERLASTERS • ORDINARY TRIBE,256955713,eJgddm39Ex8,The Everlasters - Ordinary Tribe,https://www.youtube.com/watch?v=eJgddm39Ex8,YES
2018-09-25-thylacine-war-dance.md,Thylacine | War Dance,272826504,iU1ZFLKnlMk,THYLACINE - War Dance (Official music video),https://www.youtube.com/watch?v=iU1ZFLKnlMk,YES
2018-09-25-tim-aminov-feat-cedric-gasaida-orpheus.md,Tim Aminov feat. Cédric Gasaïda /// ORPHEUS,261789043,xWO0VgwyXVM,TIM AMINOV - ORPHEUS (FEAT. CÉDRIC GASAÏDA),https://www.youtube.com/watch?v=xWO0VgwyXVM,YES
2018-09-25-tinariwen-ioi-nannuflay.md,Tinariwen (+IO:I) - Nànnuflày,260055409,H1YIgwPsX5Q,Tinariwen (+IO:I) - Nànnuflày,https://www.youtube.com/watch?v=H1YIgwPsX5Q,YES
2018-09-25-tshegue-i-muanapoto.md,Tshegue I Muanapoto,272767519,yC91GYRqwH0,TSHEGUE - Muanapoto (official video),https://www.youtube.com/watch?v=yC91GYRqwH0,YES
2018-09-25-unsilenced-haute-ft-billy-read.md,UNSILENCED • HAUTE ft. BILLY READ,259743438,rzABLtFjNss,Haute Feat. Billy Read – Unsilenced,https://www.youtube.com/watch?v=rzABLtFjNss,YES
2018-09-25-young-fathers-toy.md,YOUNG FATHERS ‘Toy’,267366457,4lH1jC9Eb3w,Young Fathers - Toy (Official Video),https://www.youtube.com/watch?v=4lH1jC9Eb3w,YES
2018-10-11-aigel-1190-short-music-film.md,AIGEL // 1190 | Short music film,246051988,Y3Gf4BZxm4s,АИГЕЛ - 1190 // AIGEL - 1190 (short movie),https://www.youtube.com/watch?v=Y3Gf4BZxm4s,YES
2018-10-11-aigel-tatarin.md,AIGEL // Tatarin,234820489,yQR_NLeXKtw,"АИГЕЛ — Татарин // AIGEL — Tatarin [Official Music Video | English, Russian, Tatar subtitles]",https://www.youtube.com/watch?v=yQR_NLeXKtw,YES
2018-12-11-heart-of-sky-short-by-jessy-moussallem.md,Heart of Sky // short by Jessy Moussallem,289494033,xj6jtsYty0I,Heart Of Sky - The Short Film,https://www.youtube.com/watch?v=xj6jtsYty0I,YES
2018-12-11-leftfield-head-and-shoulders.md,Leftfield // Head and Shoulders,134281027,oJVyEELSlM8,Leftfield & Sleaford Mods - Head And Shoulders,https://www.youtube.com/watch?v=oJVyEELSlM8,YES
2019-06-11-slip.md,SLIP,114097964,yb2n43yyThk,Elliot Moss - Slip (Official Music Video),https://www.youtube.com/watch?v=yb2n43yyThk,YES
2019-06-11-weval-someday.md,WEVAL - SOMEDAY,328690392,n-wEvzqdDZg,Weval - Someday (Official Video),https://www.youtube.com/watch?v=n-wEvzqdDZg,YES
2019-10-24-kasst-hell-on-earth.md,Kas:st - Hell On Earth,364325963,Fwi1qgSaxZY,KAS:ST - Hell On Earth (Official Video),https://www.youtube.com/watch?v=Fwi1qgSaxZY,YES
2019-11-18-maslo-chernogo-tmina-the-untitled.md,maslo chernogo tmina - the untitled,372915380,U2jXkVSd5uo,масло черного тмина - аппарат президента 2,https://www.youtube.com/watch?v=U2jXkVSd5uo,YES
2019-11-20-ram-parazit-d0-bf-d0-b0-d1-80-d0-b0-d0-b7-d0-b8-d1-82.md,RAM - PARAZIT (Паразит),365636296,JS0am0bPAIE,RAM — Паразит (Official Music Video),https://www.youtube.com/watch?v=JS0am0bPAIE,YES
2019-11-29-husky-x-maslo-chernogo-tmina-kill-me.md,HUSKY X MASLO CHERNOGO TMINA - KILL ME,375655613,NOLDfHogato,Хаски & масло черного тмина — Убей меня,https://www.youtube.com/watch?v=NOLDfHogato,YES
2021-01-17-husky-d0-bd-d0-b8-d0-ba-d0-be-d0-b3-d0-b4-d0-b0-d0-bd-d0-b8-d0-b1-d1-83-d0-b4-d1-8c.md,Husky - Никогда-нибудь,464690979,4C_NEIzqLPM,Хаски - Никогда-нибудь,https://www.youtube.com/watch?v=4C_NEIzqLPM,YES
